"","COMUNA","n_1","n_2","n_3","vote_1","vote_2","vote_3","participacion_1","participacion_2","participacion_3","n","vote","participacion","year","cod_comuna","X24.Oct","group_etapa_plebiscito","yautcorh","decil1","decil2","decil3","decil4","decil5","decil6","decil7","decil8","decil9","decil10","hacinamiento_2"
"21","Calbuco",9043,14882,5212,2115,8074,2121,0.233882561096981,0.542534605563768,0.406945510360706,29137,12310,0.422486872361602,2012,10102,2,1,732468.97570433,0.2345323,0.13827066,0.11177015,0.072726779,0.12608151,0.062224519,0.091717906,0.039777983,0.074957825,0.047940359,0.078902975
"22","Caldera",4383,6757,1478,1506,4080,997,0.343600273785079,0.603818262542548,0.674560216508796,12618,6583,0.521715010302742,2012,3102,3,0,737362.450686307,0.1691329,0.16498159,0.1223301,0.13244058,0.053230666,0.079343826,0.077000335,0.079477735,0.069434218,0.052628055,0.13592233
"23","Calera",14118,21363,6739,3022,11428,3962,0.214052982008783,0.534943594064504,0.587921056536578,42220,18412,0.436096636665088,2012,5502,2,1,621296.039636046,0.16910312,0.16700201,0.11589894,0.14730863,0.10817115,0.12341304,0.092929259,0.040045582,0.019105785,0.017022489,0.11524011
"24","Calera De Tango",6973,9686,2047,2643,6427,1371,0.379033414599168,0.663534998967582,0.669760625305325,18706,10441,0.558163156206565,2012,13403,3,0,1075553.36354977,0.037275758,0.082679793,0.15294491,0.15716781,0.12389268,0.17980632,0.068328306,0.10693761,0.051404987,0.039561834,0.12417844
"25","Calle Larga",3303,5212,1542,514,1929,532,0.155616106569785,0.370107444359171,0.345006485084306,10057,2975,0.295813860992344,2012,5302,3,0,612244.608603342,0.17991322,0.18886735,0.22662236,0.09332595,0.072279148,0.096833751,0.069509834,0.026862364,0.042462844,0.0033231792,0.16745131
"26","Camarones",1688,2611,539,862,1471,317,0.510663507109005,0.563385675986212,0.588126159554731,4838,2650,0.547747002893758,2012,15102,3,0,325384.650236327,0.1701553,0.049966238,0.20729236,0.18568535,0.10128292,0.072923698,0.11141121,0.062795408,0.038487509,0,0.074740484
"27","Camiña",961,1648,354,468,967,243,0.486992715920916,0.586771844660194,0.686440677966102,2963,1678,0.566317921025987,2012,1402,3,0,759733.319711538,0.087740384,0.061298076,0.25961539,0.10096154,0.16947116,0.12259615,0,0.07692308,0.12139423,0,0.19001219
"28","Canela",2289,4344,1846,1024,3056,1240,0.447356924421145,0.703499079189687,0.671722643553629,8479,5320,0.627432480245312,2012,4202,3,0,452071.829571878,0.45301601,0.075776227,0.070578583,0.07919573,0.064423472,0.10887703,0.075639449,0.016550403,0.047736287,0.0082068117,0.043906443
"29","Cañete",9726,13446,3951,2961,8550,2399,0.304441702652684,0.635876840696118,0.607188053657302,27123,13910,0.51284887364967,2012,8203,1,1,573492.877919506,0.14074613,0.20294374,0.19658992,0.091693386,0.092451178,0.1172253,0.064879045,0.045467794,0.025648499,0.022354998,0.040017489
"30","Carahue",7298,11918,4458,3363,7654,2387,0.460811181145519,0.642221849303574,0.535441902198295,23674,13404,0.56619075779336,2012,9102,1,1,674453.515539769,0.29616475,0.19895133,0.16106389,0.058987696,0.080299377,0.067994416,0.062581927,0.014588355,0.0076958858,0.051672377,0.049980972
"31","Cartagena",4800,8130,3401,1840,5254,2180,0.383333333333333,0.646248462484625,0.640987944722141,16331,9274,0.567877043659298,2012,5603,3,0,702299.02646235,0.074575715,0.1921239,0.080474541,0.18556599,0.1337947,0.087329052,0.076750703,0.042577032,0.10693689,0.019871479,0.050420169
"32","Casablanca",6662,9958,3135,2412,6989,1931,0.362053437406184,0.701847760594497,0.615948963317384,19755,11332,0.573626929891167,2012,5102,3,0,874948.000029426,0.058762949,0.13306262,0.0625,0.12185146,0.10472576,0.18879473,0.13238584,0.090454333,0.084863462,0.02259887,0.012615768
"33","Castro",12475,17674,5652,2786,9552,2408,0.223326653306613,0.54045490551092,0.426043878273178,35801,14746,0.411887936091171,2012,10201,3,0,892880.0983082,0.13401641,0.11755795,0.13525888,0.092555404,0.088028051,0.083892159,0.075586341,0.11674099,0.093542568,0.062821254,0.062855296
"34","Catemu",3714,5710,1873,1206,4059,1242,0.324717285945073,0.710858143607706,0.663107314468767,11297,6507,0.575993626626538,2012,5702,3,0,469780.383137196,0.1430061,0.18203487,0.24921794,0.14114405,0.081036791,0.098167732,0.066736184,0.026739163,0.0020110235,0.0099061523,0.1451661
"35","Cauquenes",11362,17867,7108,4502,12544,4512,0.396233057560289,0.702076453797504,0.634777715250422,36337,21558,0.593279577290365,2012,7201,3,0,627723.926427926,0.207765,0.18560308,0.12680615,0.11942679,0.067461737,0.12613964,0.06005856,0.03725392,0.032826301,0.036658812,0.067461737
"36","Cerrillos",23858,32685,9466,3973,15143,5491,0.166526951127504,0.463301208505431,0.580076061694486,66009,24607,0.372782499356148,2012,13102,3,0,825127.461998104,0.1099939,0.12125059,0.085093774,0.15852462,0.17408085,0.10257973,0.091593876,0.048920035,0.072313629,0.035648994,0.093438961
"37","Cerro Navia",39293,60136,16172,7039,30855,9456,0.179141322881938,0.513087002793668,0.584714321048726,115601,47350,0.409598532884664,2012,13103,2,1,818703.426739788,0.13758983,0.15666692,0.12725885,0.052736618,0.14320813,0.13478068,0.12291515,0.07472349,0.035126999,0.014993333,0.11458831
"38","Chaiten",1696,3054,738,496,1410,306,0.292452830188679,0.461689587426326,0.414634146341463,5488,2212,0.403061224489796,2012,10401,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Chañaral",4015,5956,1740,579,1489,478,0.144209215442092,0.25,0.274712643678161,11711,2546,0.217402442148407,2012,3201,3,0,780451.271023888,0.15904449,0.16090934,0.11135779,0.041736968,0.08045467,0.18675074,0.13222627,0.07725779,0.021312494,0.028949471,0.068643995
"40","Chanco",2874,4625,1619,1635,3707,1181,0.568893528183716,0.801513513513514,0.72946263125386,9118,6523,0.715398113621408,2012,7202,3,0,564760.315635179,0.23579268,0.18841682,0.16950995,0.13908508,0.059111159,0.091383241,0.043898728,0.041290883,0.022384005,0.0091274586,0.085515596
"41","Chepica",4311,6672,2060,1894,4899,1324,0.43934122013454,0.734262589928058,0.642718446601942,13043,8117,0.622326151958905,2012,6302,3,0,549720.51053182,0.15917239,0.19719152,0.16723932,0.13078877,0.14632507,0.074096203,0.050791755,0.034060352,0.030176276,0.010158351,0.16768748
"42","Chiguayante",22833,29036,7296,6568,16736,4428,0.287653834362545,0.576387932222069,0.606907894736842,59165,27732,0.468723062621482,2012,8103,1,1,874334.080051566,0.096555293,0.15352651,0.13812216,0.11911213,0.076753438,0.089435525,0.087033913,0.10651511,0.09176515,0.041180782,0.045303442
"43","Chile Chico",1457,3518,1083,584,1581,419,0.400823610157859,0.449403069926094,0.386888273314866,6058,2584,0.426543413667877,2012,11401,4,0,905686.676426706,0.087467365,0.048862364,0.15013056,0.10816859,0.065087654,0.089891829,0.11861246,0.10387915,0.13278627,0.095113762,0.031331591
"44","Chillan",49797,68781,20683,12393,38831,11320,0.248870413880354,0.564559980227098,0.547309384518687,139261,62544,0.449113535016982,2012,16101,2,1,822256.990836274,0.11932708,0.141275,0.12707902,0.13043576,0.095992677,0.089571089,0.096975006,0.077513769,0.072854742,0.048975859,0.054882098
"45","Chillan Viejo",6086,9417,2476,2519,6858,1802,0.413900755833059,0.728257406817458,0.727786752827141,17979,11179,0.621780966683353,2012,16103,2,1,552909.807132318,0.19620834,0.14590351,0.23760474,0.13549177,0.14325882,0.031513598,0.046657942,0.018735558,0.031708471,0.012917235,0.10286387
"46","Chimbarongo",8921,14501,4031,2489,9031,2210,0.279004595897321,0.622784635542376,0.548251054328951,27453,13730,0.500127490620333,2012,6303,3,0,546034.989603268,0.13921338,0.23335522,0.17051783,0.15243781,0.10790894,0.064608268,0.069006883,0.030161949,0.032789696,0,0.096455403
"47","Cholchol",2673,4720,1821,1457,3467,1172,0.545080433969323,0.734533898305085,0.643602416254805,9214,6096,0.661601910136748,2012,9121,2,1,379845.092865452,0.54866225,0.092574641,0.054575417,0.11554866,0.054672353,0.071636297,0.032279953,0.016091509,0.0087243114,0.005234587,0.064947657
"48","Chonchi",3546,5888,2229,1669,4166,1031,0.470671178793006,0.707540760869565,0.462539255271422,11663,6866,0.588699305496013,2012,10203,1,1,735655.918447108,0.11874674,0.13750651,0.15502866,0.10838979,0.13770193,0.1140568,0.082139134,0.068785824,0.060838979,0.016805628,0.0078165708
"49","Cisnes",1358,2288,395,597,1422,271,0.439617083946981,0.621503496503496,0.686075949367089,4041,2290,0.56669141301658,2012,11202,4,0,783184.591102515,0.07911025,0.12243713,0.19651838,0.064796902,0.11431335,0.10618956,0.14294004,0.03713733,0.058413927,0.078143135,0.049323019
"50","Cobquecura",1466,2760,1105,910,2083,715,0.620736698499318,0.754710144927536,0.647058823529412,5331,3708,0.695554305008441,2012,16202,3,0,419482.868654678,0.46706179,0.11260542,0.093229994,0.065420561,0.0873034,0.094141781,0.033736039,0.008206063,0.032368362,0.0059266011,0.17916572
"51","Cochamo",1096,2402,901,411,1418,430,0.375,0.590341382181515,0.477247502774695,4399,2259,0.513525801318481,2012,10103,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Cochrane",982,1674,390,423,925,217,0.430753564154786,0.552568697729988,0.556410256410256,3046,1565,0.513788575180565,2012,11301,4,0,918893.114171657,0.13133733,0.10658683,0.040718563,0.044311378,0.14291418,0.073453091,0.085029937,0.11896208,0.16087824,0.095808387,0
"53","Codegua",3487,5318,1331,1452,4050,871,0.416403785488959,0.761564497931553,0.654395191585274,10136,6373,0.628749013417522,2012,6102,3,0,725674.303117216,0.049966034,0.093818404,0.17208846,0.12061287,0.17473017,0.1646162,0.10793267,0.080081515,0.028002113,0.0081515582,0.025662314
