cod_comuna,yautcorh,decil1,decil2,decil3,decil4,decil5,decil6,decil7,decil8,decil9,decil10,hacinamiento_2
13119,1158563.043866128,.040910024,.063766755,.09648639,.10864888,.10167608,.14819592,.13123623,.11888196,.12972873,.060469016,.071074359
13120,2359447.772266801,.015923792,.022495016,.037087232,.024393896,.036945406,.062663004,.04964662,.13054201,.18129171,.43901134,.024694478
13121,929026.3787112833,.080499887,.10618697,.16778721,.094292901,.11548924,.13025738,.12802485,.084387593,.061151173,.03192281,.14696895
13122,1757320.366645545,.055150267,.074098013,.11621997,.106982,.11243755,.11702879,.095607013,.070549518,.098255493,.1536714,.11797515
13123,3272586.133150413,.0056160237,.007584177,.012267024,.0092893438,.021412149,.029615616,.041246384,.075400628,.16310221,.63446641,.014314703
13124,912738.1222399279,.092211671,.07086987,.1526293,.071134903,.13168174,.11168829,.15237089,.1205669,.068610467,.028235972,.13983229
13125,963370.3286474333,.058293633,.042354897,.12370331,.12517253,.15154044,.10348678,.13726385,.11553359,.094519392,.048131578,.16245195
13126,976156.9183891709,.036142133,.089421317,.10812859,.10022335,.18593571,.11381388,.11034856,.16690356,.07645347,.012629442,.17662267
13127,955481.6373559502,.091412164,.056944814,.10650173,.10667288,.12956871,.12976839,.12432016,.11061879,.06527403,.078918345,.21046063
13128,981835.357690376,.041043334,.052578278,.17657278,.16963205,.090690531,.16603407,.11979549,.098586328,.065167099,.019900046,.12774892
13129,853921.3550410873,.047029078,.063606195,.11662453,.11965866,.19001265,.12635905,.14333123,.11019279,.074004427,.0091814157,.13253298
13130,1425269.612371847,.043296527,.062813699,.085572764,.057975546,.092961639,.11823852,.10820018,.1240805,.15531456,.15154608,.075978741
13131,793143.6289023778,.11883326,.10221209,.15183118,.10321696,.19004358,.10983012,.067598216,.080403581,.066851348,.0091796685,.099550523
13132,5229055.940917645,.0019067501,.0028114126,0,.0020598469,0,.025288796,.025775922,.072526097,.16858734,.70104384,.012126474
13201,948228.4006973945,.073880658,.085076094,.09501414,.12021051,.12688623,.11736579,.11740155,.14082487,.089336246,.034003906,.11105228
13202,1559757.496600148,.01751663,.16936438,.048521802,.029305248,.004804139,.23381375,.087509237,.089320026,.20728011,.11256467,.033074647
13203,927910.8865014982,.11035591,.0057005044,.17006505,.16655704,.058832128,.070160054,.08426515,.16261055,.093912154,.077541478,.16341445
13301,1416180.517246949,.1287363,.10183413,.123624,.10730179,.11919818,.14955701,.058714736,.062591366,.040648043,.10779444,.14058425
13302,1279266.328840359,.034851026,.08953587,.12146162,.12837131,.10185477,.10242217,.10253565,.11553544,.11904071,.08439143,.096988522
13303,725652.9664669919,.10621873,.086704135,.20731179,.13147657,.18680911,.098252334,.039955538,.088618539,.037979376,.016673872,.1391342
13401,862371.9681467443,.10010937,.14536136,.12045605,.13926911,.11214323,.11929002,.090636551,.071877718,.075161874,.025694719,.17268984
13402,875650.123292797,.095108911,.14157423,.15086195,.088306829,.12782307,.13666978,.076039024,.11389817,.040197782,.029520245,.083295472
13403,1075553.36354977,.037275758,.082679793,.15294491,.15716781,.12389268,.17980632,.068328306,.10693761,.051404987,.039561834,.12417844
13404,1111548.007615642,.032940116,.096624345,.056575354,.15628256,.17079592,.11930235,.14556998,.048058785,.11882373,.055026889,.064345844
13501,749814.5665083135,.062685572,.1392889,.21986341,.12162262,.074070297,.13135578,.071695,.1271155,.036306784,.015996139,.081480719
13502,842139.3156146179,.049833886,.12115172,.10586932,.16035438,.048062015,.1379845,.20044297,.090586931,.046954595,.03875969,.054602183
13503,604031.3063437212,.18610168,.18658248,.1162254,.1263863,.11811654,.083434835,.064843901,.071671262,.039233286,.0074043209,.044329766
13504,561244.9935924107,.19863527,.18590331,.1713406,.12973288,.051593576,.091037698,.10751435,.06174586,.00083215447,.0016643089,.099109598
13505,731763.6829329962,.15676358,.077876106,.093046777,.20935525,.2551201,.049304679,.07079646,.058154237,.029582806,0,.081415929
13601,1154668.418165146,.045359276,.057696428,.11508324,.11223712,.09186177,.05424298,.1360302,.15806083,.13131446,.098113701,.066520587
13602,879686.8979308215,.13316862,.12473749,.078011118,.14289685,.106084,.14969116,.075756639,.08863496,.08495985,.016059296,.091754168
13603,674856.684322977,.069289893,.14795691,.2099172,.15409952,.18537642,.096293658,.060743641,.05157423,.02474851,0,.13222945
13604,830290.9941422282,.16278636,.11773375,.090179838,.12512127,.16011865,.076206997,.050014924,.041545406,.14012013,.036172673,.12500933
13605,787767.8963353013,.10543057,.14023723,.092963137,.083623208,.13563108,.10818574,.11956811,.10746237,.083708316,.023190256,.099771291
14101,1066781.126405742,.10602695,.099011227,.11149107,.10359305,.10225441,.09276218,.10318537,.11147282,.084176578,.086026348,.067519471
14102,502214.998188816,.26533845,.13040525,.16889292,.12904686,.048222777,.12678288,.042562824,.061353859,.021960607,.005433552,.060448267
14103,509763.0972748153,.21720777,.1491092,.13116892,.14761934,.096716121,.087901175,.0745546,.063070334,.028307157,.004345397,.074927062
14104,552968.1893454666,.15711646,.18237831,.18161999,.073794968,.16375184,.091378741,.082326174,.041423764,.012465046,.013744727,.079083592
14105,671586.6521183053,.082494006,.2068745,.15539569,.11430855,.072741807,.080415666,.083932854,.13669065,.052917667,.014228617,.089208633
14106,590302.3290643275,.21660818,.11538012,.16327485,.15339181,.12122807,.069005847,.059298247,.056900583,.021637427,.023274854,.094808258
14107,532243.370253655,.21976545,.23443715,.12910059,.13230357,.081727542,.044686675,.075373247,.036782559,.020457715,.025365502,.091594771
14108,474982.8587486174,.15380706,.25828823,.17598876,.1260052,.10101342,.068518132,.040148277,.041314162,.017727422,.017189322,.09599115
14201,606141.1495732475,.15679951,.17772107,.127184,.1051126,.11613428,.13461593,.051967356,.076142132,.040020194,.014302942,.058922511
14202,606192.7152114151,.13044901,.17593926,.20408431,.14569969,.088100538,.095496796,.063686348,.060675479,.0099489465,.025919624,.12599817
14203,546084.7300705774,.16336919,.17308804,.18488951,.12935324,.1014694,.080527596,.082841605,.045933124,.031817656,.0067106327,.028346639
14204,584826.7906497078,.17823994,.17703678,.15434857,.12774149,.10756274,.078858711,.070883468,.064008251,.03372293,.0075971126,.084221385
15101,781159.8393939203,.091987677,.1417034,.16222592,.11646292,.11228885,.11261771,.082482181,.068296663,.073621765,.038312916,.11074328
15102,325384.6502363268,.1701553,.049966238,.20729236,.18568535,.10128292,.072923698,.11141121,.062795408,.038487509,0,.074740484
15201,532721.2180851063,.12234043,.10283688,.17021276,.16312057,.10106383,.070921987,.076241136,.056737587,.08510638,.051418439,.11524823
16101,822256.990836274,.11932708,.141275,.12707902,.13043576,.095992677,.089571089,.096975006,.077513769,.072854742,.048975859,.054882098
16102,604988.3609307107,.12474886,.22721113,.10774191,.093585014,.17992805,.11372238,.051955335,.028827734,.061112929,.011166659,.059337474
16103,552909.8071323182,.19620834,.14590351,.23760474,.13549177,.14325882,.031513598,.046657942,.018735558,.031708471,.012917235,.10286387
16104,446144.0171070139,.35164419,.13181904,.1395172,.13343471,.10796426,.030222392,.041436989,.051986314,.0095038963,.0024710132,.091047332
16105,507021.2481678881,.24783477,.16844326,.17188542,.10648456,.064512551,.12824784,.033866312,.0404175,.034865644,.0034421496,.15149827
16106,419362.6876234956,.34848213,.23450692,.13777618,.076881625,.037183404,.087569609,.024968565,.011316688,.022633376,.018681517,.036913957
16107,656661.4602306038,.22343822,.11992704,.16109699,.10507458,.12605043,.11165396,.070484005,.045013353,.016025014,.021236401,.14273453
16108,419866.5345735814,.27158764,.18190305,.15929852,.15216376,.10788824,.054210842,.038541041,.02073748,.0082016401,.0054677604,.058152948
16109,525575.0270778488,.33205861,.11240978,.13390067,.14192609,.016427878,.089518473,.02838522,.093827426,.045028545,.0065172897,.099590652
16201,558686.7761286333,.13146038,.25019878,.17987455,.083929673,.028094355,.13879319,.064228289,.079158939,.030568071,.013693789,.011485114
